                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.38739,                0.23527,                 1.0268,                0.98062,                0.93924,                0.97781,                0.91184,                0.40237,                0.25385,                 1.0308,               0.007327,               0.007327,               0.007327
                    138,                0.38275,                0.23153,                 1.0198,                0.98472,                0.93987,                0.97862,                0.91322,                0.39779,                0.25822,                  1.028,              0.0073072,              0.0073072,              0.0073072
                    139,                0.38483,                 0.2351,                 1.0263,                0.98495,                0.93349,                0.98047,                0.91501,                0.39173,                0.25489,                 1.0088,              0.0072874,              0.0072874,              0.0072874
                    140,                0.37509,                0.22904,                 1.0151,                0.98628,                0.94637,                0.97695,                0.91785,                0.38548,                0.25507,                 1.0096,              0.0072676,              0.0072676,              0.0072676
                    141,                0.37497,                0.22971,                 1.0233,                0.98607,                0.94458,                0.97829,                0.91638,                0.40193,                0.27602,                 1.0208,              0.0072478,              0.0072478,              0.0072478
                    142,                0.37397,                0.23174,                   1.02,                 0.9893,                0.95397,                0.98362,                0.90905,                0.39724,                0.25464,                 1.0246,               0.007228,               0.007228,               0.007228
                    143,                0.37738,                0.23201,                  1.023,                 0.9778,                0.96785,                0.98669,                0.92407,                0.39307,                0.25464,                 1.0143,              0.0072082,              0.0072082,              0.0072082
                    144,                0.37445,                0.23472,                 1.0222,                0.97878,                0.95519,                0.98345,                0.92024,                0.39305,                0.25012,                 1.0073,              0.0071884,              0.0071884,              0.0071884
                    145,                0.37207,                0.23116,                 1.0161,                0.97122,                0.95887,                0.98283,                0.91907,                0.40085,                0.26579,                 1.0298,              0.0071686,              0.0071686,              0.0071686
                    146,                0.37082,                0.23405,                 1.0188,                0.97459,                0.94989,                 0.9798,                0.91837,                0.40862,                0.26367,                 1.0421,              0.0071488,              0.0071488,              0.0071488
                    147,                0.37061,                0.22951,                 1.0188,                0.97351,                0.95997,                0.98308,                0.91421,                0.41002,                0.25409,                 1.0473,               0.007129,               0.007129,               0.007129
                    148,                0.38426,                0.23508,                 1.0304,                0.98032,                0.94593,                0.97612,                0.91546,                0.40446,                0.25323,                 1.0304,              0.0071092,              0.0071092,              0.0071092
                    149,                0.37107,                0.22956,                   1.02,                0.97735,                0.93693,                0.97092,                0.90714,                0.40093,                 0.2744,                 1.0249,              0.0070894,              0.0070894,              0.0070894
                    150,                0.37169,                0.23023,                 1.0237,                0.99523,                0.92959,                0.97746,                0.91476,                0.40337,                0.25676,                 1.0269,              0.0070696,              0.0070696,              0.0070696
                    151,                0.37541,                0.23021,                 1.0206,                0.98294,                 0.9405,                 0.9803,                0.91445,                0.39698,                 0.2629,                 1.0166,              0.0070498,              0.0070498,              0.0070498
                    152,                 0.3863,                0.23453,                 1.0285,                0.98501,                0.94878,                  0.984,                0.91933,                0.40213,                 0.2618,                  1.025,                0.00703,                0.00703,                0.00703
                    153,                 0.3644,                0.22872,                 1.0102,                0.97298,                0.95776,                0.97595,                0.91401,                0.39236,                0.27198,                 1.0297,              0.0070102,              0.0070102,              0.0070102
